alpha,scenario,mean_path_length_m,min_path_length_m,max_path_length_m,mean_total_risk,min_total_risk,max_total_risk,mean_total_energy,min_total_energy,max_total_energy,count_paths
alpha_0,Base,4172.7,862.7,14388.2,1372.6,234.49,6045.83,113.62,33.58,367.66,63
alpha_0,Higher horizontal (+20%),4171.5,862.7,14388.2,1372.07,234.49,6045.83,134.48,37.89,439.6,63
alpha_0,Lower horizontal (-20%),4174.0,862.7,14388.2,1376.75,234.49,6045.83,92.75,29.26,295.71,63
alpha_0,Higher vertical (+20%),4174.0,862.7,14388.2,1376.75,234.49,6045.83,115.48,35.98,369.25,63
alpha_0,Lower vertical (-20%),4171.5,862.7,14388.2,1372.07,234.49,6045.83,111.76,31.18,366.07,63
alpha_0,All higher (+20%),4172.7,862.7,14388.2,1372.6,234.49,6045.83,136.35,40.29,441.19,63
alpha_0,All lower (-20%),4172.7,862.7,14388.2,1372.6,234.49,6045.83,90.9,26.86,294.12,63
alpha_0.5,Base,5609.3,913.0,16085.0,329.01,172.08,597.48,150.15,34.83,410.07,63
alpha_0.5,Higher horizontal (+20%),5561.4,913.0,16076.7,330.39,172.08,604.21,176.66,39.4,490.25,63
alpha_0.5,Lower horizontal (-20%),5677.1,913.0,16104.7,327.38,172.08,597.48,123.46,30.27,330.04,63
alpha_0.5,Higher vertical (+20%),5603.4,913.0,16085.0,329.26,172.08,597.48,151.87,37.24,411.66,63
alpha_0.5,Lower vertical (-20%),5609.3,913.0,16085.0,329.01,172.08,597.48,148.16,32.43,408.48,63
alpha_0.5,All higher (+20%),5558.2,913.0,16076.7,330.56,172.08,604.21,178.45,41.8,491.84,63
alpha_0.5,All lower (-20%),5677.1,913.0,16104.7,327.38,172.08,597.48,121.48,27.87,328.45,63
alpha_1,Base,6385.2,913.0,17641.1,322.05,171.96,555.51,169.71,34.83,448.98,63
alpha_1,Higher horizontal (+20%),6385.2,913.0,17641.1,322.05,171.96,555.51,201.63,39.4,537.18,63
alpha_1,Lower horizontal (-20%),6385.2,913.0,17641.1,322.05,171.96,555.51,137.78,30.27,360.77,63
alpha_1,Higher vertical (+20%),6385.2,913.0,17641.1,322.05,171.96,555.51,171.72,37.24,450.57,63
alpha_1,Lower vertical (-20%),6385.2,913.0,17641.1,322.05,171.96,555.51,167.69,32.43,447.39,63
alpha_1,All higher (+20%),6385.2,913.0,17641.1,322.05,171.96,555.51,203.65,41.8,538.77,63
alpha_1,All lower (-20%),6385.2,913.0,17641.1,322.05,171.96,555.51,135.76,27.87,359.18,63
